Proporção: | readers |49| writers |51| Execução |0| tempo | 9074|ms
Proporção: | readers |49| writers |51| Execução |1| tempo | 13011|ms
Proporção: | readers |50| writers |50| Execução |0| tempo | 14728|ms
Proporção: | readers |50| writers |50| Execução |1| tempo | 11780|ms
Proporção: | readers |51| writers |49| Execução |0| tempo | 17610|ms
Proporção: | readers |51| writers |49| Execução |1| tempo | 16105|ms
Proporção: | readers |52| writers |48| Execução |0| tempo | 12384|ms
Proporção: | readers |52| writers |48| Execução |1| tempo | 14113|ms
Proporção: | readers |53| writers |47| Execução |0| tempo | 13147|ms
Proporção: | readers |53| writers |47| Execução |1| tempo | 14416|ms
Proporção: | readers |54| writers |46| Execução |0| tempo | 14099|ms
Proporção: | readers |54| writers |46| Execução |1| tempo | 15120|ms
Proporção: | readers |55| writers |45| Execução |0| tempo | 16976|ms
Proporção: | readers |55| writers |45| Execução |1| tempo | 11217|ms
Proporção: | readers |56| writers |44| Execução |0| tempo | 9354|ms
Proporção: | readers |56| writers |44| Execução |1| tempo | 14926|ms
Proporção: | readers |57| writers |43| Execução |0| tempo | 14418|ms
Proporção: | readers |57| writers |43| Execução |1| tempo | 17173|ms
Proporção: | readers |58| writers |42| Execução |0| tempo | 10011|ms
Proporção: | readers |58| writers |42| Execução |1| tempo | 18621|ms
Proporção: | readers |59| writers |41| Execução |0| tempo | 15422|ms
Proporção: | readers |59| writers |41| Execução |1| tempo | 17959|ms
Proporção: | readers |60| writers |40| Execução |0| tempo | 15269|ms
Proporção: | readers |60| writers |40| Execução |1| tempo | 14872|ms
Proporção: | readers |61| writers |39| Execução |0| tempo | 17257|ms
Proporção: | readers |61| writers |39| Execução |1| tempo | 16316|ms
Proporção: | readers |62| writers |38| Execução |0| tempo | 16584|ms
Proporção: | readers |62| writers |38| Execução |1| tempo | 18214|ms
Proporção: | readers |63| writers |37| Execução |0| tempo | 14047|ms
Proporção: | readers |63| writers |37| Execução |1| tempo | 12166|ms
Proporção: | readers |64| writers |36| Execução |0| tempo | 15173|ms
Proporção: | readers |64| writers |36| Execução |1| tempo | 12806|ms
Proporção: | readers |65| writers |35| Execução |0| tempo | 18091|ms
Proporção: | readers |65| writers |35| Execução |1| tempo | 11993|ms
Proporção: | readers |66| writers |34| Execução |0| tempo | 16060|ms
