Proporção: | readers |2| writers |98| Execução |0| tempo | 482|ms
Proporção: | readers |2| writers |98| Execução |1| tempo | 444|ms
Proporção: | readers |2| writers |98| Execução |2| tempo | 435|ms
Proporção: | readers |2| writers |98| Execução |3| tempo | 426|ms
Proporção: | readers |2| writers |98| Execução |4| tempo | 439|ms
Proporção: | readers |2| writers |98| Execução |5| tempo | 435|ms
Proporção: | readers |2| writers |98| Execução |6| tempo | 439|ms
Proporção: | readers |2| writers |98| Execução |7| tempo | 453|ms
Proporção: | readers |2| writers |98| Execução |8| tempo | 154|ms
Proporção: | readers |2| writers |98| Execução |9| tempo | 135|ms
Proporção: | readers |2| writers |98| Execução |10| tempo | 125|ms
Proporção: | readers |2| writers |98| Execução |11| tempo | 126|ms
Proporção: | readers |2| writers |98| Execução |12| tempo | 125|ms
Proporção: | readers |2| writers |98| Execução |13| tempo | 128|ms
Proporção: | readers |2| writers |98| Execução |14| tempo | 138|ms
Proporção: | readers |2| writers |98| Execução |15| tempo | 127|ms
Proporção: | readers |2| writers |98| Execução |16| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |17| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |18| tempo | 100|ms
Proporção: | readers |2| writers |98| Execução |19| tempo | 110|ms
Proporção: | readers |2| writers |98| Execução |20| tempo | 112|ms
Proporção: | readers |2| writers |98| Execução |21| tempo | 111|ms
Proporção: | readers |2| writers |98| Execução |22| tempo | 115|ms
Proporção: | readers |2| writers |98| Execução |23| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |24| tempo | 113|ms
Proporção: | readers |2| writers |98| Execução |25| tempo | 104|ms
Proporção: | readers |2| writers |98| Execução |26| tempo | 112|ms
Proporção: | readers |2| writers |98| Execução |27| tempo | 111|ms
Proporção: | readers |2| writers |98| Execução |28| tempo | 117|ms
Proporção: | readers |2| writers |98| Execução |29| tempo | 105|ms
Proporção: | readers |2| writers |98| Execução |30| tempo | 109|ms
Proporção: | readers |2| writers |98| Execução |31| tempo | 103|ms
Proporção: | readers |2| writers |98| Execução |32| tempo | 104|ms
Proporção: | readers |2| writers |98| Execução |33| tempo | 110|ms
Proporção: | readers |2| writers |98| Execução |34| tempo | 112|ms
Proporção: | readers |2| writers |98| Execução |35| tempo | 110|ms
Proporção: | readers |2| writers |98| Execução |36| tempo | 104|ms
Proporção: | readers |2| writers |98| Execução |37| tempo | 107|ms
Proporção: | readers |2| writers |98| Execução |38| tempo | 105|ms
Proporção: | readers |2| writers |98| Execução |39| tempo | 116|ms
Proporção: | readers |2| writers |98| Execução |40| tempo | 115|ms
Proporção: | readers |2| writers |98| Execução |41| tempo | 111|ms
Proporção: | readers |2| writers |98| Execução |42| tempo | 95|ms
Proporção: | readers |2| writers |98| Execução |43| tempo | 109|ms
Proporção: | readers |2| writers |98| Execução |44| tempo | 104|ms
Proporção: | readers |2| writers |98| Execução |45| tempo | 106|ms
Proporção: | readers |2| writers |98| Execução |46| tempo | 101|ms
Proporção: | readers |2| writers |98| Execução |47| tempo | 114|ms
Proporção: | readers |2| writers |98| Execução |48| tempo | 103|ms
Proporção: | readers |2| writers |98| Execução |49| tempo | 106|ms
Proporção: | readers |3| writers |97| Execução |0| tempo | 428|ms
Proporção: | readers |3| writers |97| Execução |1| tempo | 429|ms
Proporção: | readers |3| writers |97| Execução |2| tempo | 432|ms
Proporção: | readers |3| writers |97| Execução |3| tempo | 419|ms
Proporção: | readers |3| writers |97| Execução |4| tempo | 433|ms
Proporção: | readers |3| writers |97| Execução |5| tempo | 432|ms
Proporção: | readers |3| writers |97| Execução |6| tempo | 421|ms
Proporção: | readers |3| writers |97| Execução |7| tempo | 153|ms
Proporção: | readers |3| writers |97| Execução |8| tempo | 142|ms
Proporção: | readers |3| writers |97| Execução |9| tempo | 141|ms
Proporção: | readers |3| writers |97| Execução |10| tempo | 147|ms
Proporção: | readers |3| writers |97| Execução |11| tempo | 132|ms
Proporção: | readers |3| writers |97| Execução |12| tempo | 143|ms
Proporção: | readers |3| writers |97| Execução |13| tempo | 133|ms
Proporção: | readers |3| writers |97| Execução |14| tempo | 118|ms
Proporção: | readers |3| writers |97| Execução |15| tempo | 113|ms
Proporção: | readers |3| writers |97| Execução |16| tempo | 108|ms
Proporção: | readers |3| writers |97| Execução |17| tempo | 98|ms
Proporção: | readers |3| writers |97| Execução |18| tempo | 96|ms
Proporção: | readers |3| writers |97| Execução |19| tempo | 105|ms
Proporção: | readers |3| writers |97| Execução |20| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |21| tempo | 96|ms
Proporção: | readers |3| writers |97| Execução |22| tempo | 106|ms
Proporção: | readers |3| writers |97| Execução |23| tempo | 104|ms
Proporção: | readers |3| writers |97| Execução |24| tempo | 101|ms
Proporção: | readers |3| writers |97| Execução |25| tempo | 108|ms
Proporção: | readers |3| writers |97| Execução |26| tempo | 99|ms
Proporção: | readers |3| writers |97| Execução |27| tempo | 108|ms
Proporção: | readers |3| writers |97| Execução |28| tempo | 105|ms
Proporção: | readers |3| writers |97| Execução |29| tempo | 108|ms
Proporção: | readers |3| writers |97| Execução |30| tempo | 97|ms
Proporção: | readers |3| writers |97| Execução |31| tempo | 109|ms
Proporção: | readers |3| writers |97| Execução |32| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |33| tempo | 104|ms
Proporção: | readers |3| writers |97| Execução |34| tempo | 110|ms
Proporção: | readers |3| writers |97| Execução |35| tempo | 92|ms
Proporção: | readers |3| writers |97| Execução |36| tempo | 107|ms
Proporção: | readers |3| writers |97| Execução |37| tempo | 98|ms
Proporção: | readers |3| writers |97| Execução |38| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |39| tempo | 115|ms
Proporção: | readers |3| writers |97| Execução |40| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |41| tempo | 109|ms
Proporção: | readers |3| writers |97| Execução |42| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |43| tempo | 105|ms
Proporção: | readers |3| writers |97| Execução |44| tempo | 104|ms
Proporção: | readers |3| writers |97| Execução |45| tempo | 102|ms
Proporção: | readers |3| writers |97| Execução |46| tempo | 114|ms
Proporção: | readers |3| writers |97| Execução |47| tempo | 100|ms
Proporção: | readers |3| writers |97| Execução |48| tempo | 101|ms
Proporção: | readers |3| writers |97| Execução |49| tempo | 98|ms
Proporção: | readers |4| writers |96| Execução |0| tempo | 293|ms
Proporção: | readers |4| writers |96| Execução |1| tempo | 226|ms
Proporção: | readers |4| writers |96| Execução |2| tempo | 215|ms
Proporção: | readers |4| writers |96| Execução |3| tempo | 221|ms
Proporção: | readers |4| writers |96| Execução |4| tempo | 211|ms
Proporção: | readers |4| writers |96| Execução |5| tempo | 222|ms
Proporção: | readers |4| writers |96| Execução |6| tempo | 197|ms
Proporção: | readers |4| writers |96| Execução |7| tempo | 124|ms
Proporção: | readers |4| writers |96| Execução |8| tempo | 121|ms
Proporção: | readers |4| writers |96| Execução |9| tempo | 139|ms
Proporção: | readers |4| writers |96| Execução |10| tempo | 124|ms
Proporção: | readers |4| writers |96| Execução |11| tempo | 134|ms
Proporção: | readers |4| writers |96| Execução |12| tempo | 132|ms
Proporção: | readers |4| writers |96| Execução |13| tempo | 137|ms
Proporção: | readers |4| writers |96| Execução |14| tempo | 130|ms
Proporção: | readers |4| writers |96| Execução |15| tempo | 132|ms
Proporção: | readers |4| writers |96| Execução |16| tempo | 139|ms
Proporção: | readers |4| writers |96| Execução |17| tempo | 124|ms
Proporção: | readers |4| writers |96| Execução |18| tempo | 126|ms
Proporção: | readers |4| writers |96| Execução |19| tempo | 132|ms
Proporção: | readers |4| writers |96| Execução |20| tempo | 123|ms
Proporção: | readers |4| writers |96| Execução |21| tempo | 136|ms
Proporção: | readers |4| writers |96| Execução |22| tempo | 133|ms
Proporção: | readers |4| writers |96| Execução |23| tempo | 131|ms
Proporção: | readers |4| writers |96| Execução |24| tempo | 130|ms
Proporção: | readers |4| writers |96| Execução |25| tempo | 137|ms
Proporção: | readers |4| writers |96| Execução |26| tempo | 129|ms
Proporção: | readers |4| writers |96| Execução |27| tempo | 132|ms
Proporção: | readers |4| writers |96| Execução |28| tempo | 123|ms
Proporção: | readers |4| writers |96| Execução |29| tempo | 129|ms
Proporção: | readers |4| writers |96| Execução |30| tempo | 128|ms
Proporção: | readers |4| writers |96| Execução |31| tempo | 137|ms
Proporção: | readers |4| writers |96| Execução |32| tempo | 148|ms
Proporção: | readers |4| writers |96| Execução |33| tempo | 133|ms
Proporção: | readers |4| writers |96| Execução |34| tempo | 139|ms
Proporção: | readers |4| writers |96| Execução |35| tempo | 130|ms
Proporção: | readers |4| writers |96| Execução |36| tempo | 115|ms
