Proporção: | readers |1| writers |99| Execução |46| tempo | 10411|ms
Proporção: | readers |1| writers |99| Execução |47| tempo | 9130|ms
Proporção: | readers |1| writers |99| Execução |48| tempo | 11372|ms
Proporção: | readers |1| writers |99| Execução |49| tempo | 8082|ms
Proporção: | readers |2| writers |98| Execução |0| tempo | 9851|ms
Proporção: | readers |2| writers |98| Execução |1| tempo | 12527|ms
Proporção: | readers |2| writers |98| Execução |2| tempo | 9207|ms
Proporção: | readers |2| writers |98| Execução |3| tempo | 15269|ms
Proporção: | readers |2| writers |98| Execução |4| tempo | 11066|ms
Proporção: | readers |2| writers |98| Execução |5| tempo | 11137|ms
Proporção: | readers |2| writers |98| Execução |6| tempo | 11802|ms
Proporção: | readers |2| writers |98| Execução |7| tempo | 10056|ms
Proporção: | readers |2| writers |98| Execução |8| tempo | 8568|ms
Proporção: | readers |2| writers |98| Execução |9| tempo | 11821|ms
Proporção: | readers |2| writers |98| Execução |10| tempo | 10429|ms
Proporção: | readers |2| writers |98| Execução |11| tempo | 12822|ms
Proporção: | readers |2| writers |98| Execução |12| tempo | 14173|ms
Proporção: | readers |2| writers |98| Execução |13| tempo | 9616|ms
Proporção: | readers |2| writers |98| Execução |14| tempo | 10172|ms
Proporção: | readers |2| writers |98| Execução |15| tempo | 10293|ms
Proporção: | readers |2| writers |98| Execução |16| tempo | 13816|ms
Proporção: | readers |2| writers |98| Execução |17| tempo | 9975|ms
Proporção: | readers |2| writers |98| Execução |18| tempo | 10490|ms
Proporção: | readers |2| writers |98| Execução |19| tempo | 14617|ms
Proporção: | readers |2| writers |98| Execução |20| tempo | 10670|ms
Proporção: | readers |2| writers |98| Execução |21| tempo | 12928|ms
Proporção: | readers |2| writers |98| Execução |22| tempo | 11469|ms
Proporção: | readers |2| writers |98| Execução |23| tempo | 14055|ms
Proporção: | readers |2| writers |98| Execução |24| tempo | 10694|ms
Proporção: | readers |2| writers |98| Execução |25| tempo | 9807|ms
Proporção: | readers |2| writers |98| Execução |26| tempo | 10699|ms
Proporção: | readers |2| writers |98| Execução |27| tempo | 11185|ms
Proporção: | readers |2| writers |98| Execução |28| tempo | 17961|ms
Proporção: | readers |2| writers |98| Execução |29| tempo | 11711|ms
Proporção: | readers |2| writers |98| Execução |30| tempo | 14846|ms
Proporção: | readers |2| writers |98| Execução |31| tempo | 11295|ms
Proporção: | readers |2| writers |98| Execução |32| tempo | 11474|ms
Proporção: | readers |2| writers |98| Execução |33| tempo | 14048|ms
Proporção: | readers |2| writers |98| Execução |34| tempo | 9513|ms
Proporção: | readers |2| writers |98| Execução |35| tempo | 10348|ms
Proporção: | readers |2| writers |98| Execução |36| tempo | 10406|ms
Proporção: | readers |2| writers |98| Execução |37| tempo | 7665|ms
Proporção: | readers |2| writers |98| Execução |38| tempo | 7422|ms
Proporção: | readers |2| writers |98| Execução |39| tempo | 9264|ms
Proporção: | readers |2| writers |98| Execução |40| tempo | 10175|ms
Proporção: | readers |2| writers |98| Execução |41| tempo | 11035|ms
Proporção: | readers |2| writers |98| Execução |42| tempo | 9750|ms
Proporção: | readers |2| writers |98| Execução |43| tempo | 7841|ms
Proporção: | readers |2| writers |98| Execução |44| tempo | 9886|ms
Proporção: | readers |2| writers |98| Execução |45| tempo | 11895|ms
Proporção: | readers |2| writers |98| Execução |46| tempo | 8900|ms
Proporção: | readers |2| writers |98| Execução |47| tempo | 10636|ms
Proporção: | readers |2| writers |98| Execução |48| tempo | 8719|ms
Proporção: | readers |2| writers |98| Execução |49| tempo | 10554|ms
Proporção: | readers |3| writers |97| Execução |0| tempo | 12249|ms
Proporção: | readers |3| writers |97| Execução |1| tempo | 11955|ms
Proporção: | readers |3| writers |97| Execução |2| tempo | 10713|ms
Proporção: | readers |3| writers |97| Execução |3| tempo | 11241|ms
Proporção: | readers |3| writers |97| Execução |4| tempo | 13755|ms
Proporção: | readers |3| writers |97| Execução |5| tempo | 15695|ms
Proporção: | readers |3| writers |97| Execução |6| tempo | 9643|ms
Proporção: | readers |3| writers |97| Execução |7| tempo | 10480|ms
Proporção: | readers |3| writers |97| Execução |8| tempo | 11069|ms
Proporção: | readers |3| writers |97| Execução |9| tempo | 10231|ms
Proporção: | readers |3| writers |97| Execução |10| tempo | 10035|ms
Proporção: | readers |3| writers |97| Execução |11| tempo | 10653|ms
Proporção: | readers |3| writers |97| Execução |12| tempo | 14434|ms
Proporção: | readers |3| writers |97| Execução |13| tempo | 15125|ms
Proporção: | readers |3| writers |97| Execução |14| tempo | 11451|ms
Proporção: | readers |3| writers |97| Execução |15| tempo | 8674|ms
Proporção: | readers |3| writers |97| Execução |16| tempo | 14256|ms
